## Diff [ mockv1.0.0 ~ autotools ]
## Diff test01

| No. | Status | File | Plus | Minus | Type |
| 73 | M | App/ForeignCurrency/foreigncurrency-bl/pom.xml | 56 | 56 | Maven |
| 74 | M | App/ForeignCurrency/foreigncurrency-common/pom.xml | 35 | 35 | Maven |
| 75 | M | App/ForeignCurrency/foreigncurrency-properties-mbl/pom.xml | 31 | 31 | Maven |
| 76 | M | App/ForeignCurrency/foreigncurrency-properties-pc/pom.xml | 25 | 25 | Maven |
| 77 | M | App/ForeignCurrency/foreigncurrency-properties-sp/pom.xml | 31 | 31 | Maven |
| 78 | M | App/ForeignCurrency/pom.xml | 54 | 54 | Maven |
| 79 | M | App/ForeignExchange/foreignexchange-bl/pom.xml | 49 | 49 | Maven |
| 80 | M | App/ForeignExchange/foreignexchange-common/pom.xml | 35 | 35 | Maven |
| 81 | M | App/ForeignExchange/foreignexchange-properties-mbl/pom.xml | 31 | 31 | Maven |
| 82 | M | App/ForeignExchange/foreignexchange-properties-pc/pom.xml | 25 | 25 | Maven |
| 83 | M | App/ForeignExchange/foreignexchange-properties-sp/pom.xml | 31 | 31 | Maven |
| 84 | M | App/ForeignExchange/pom.xml | 54 | 54 | Maven |
| 85 | M | App/ForeignRemittance/foreignremittance-bl/pom.xml | 49 | 49 | Maven |
| 86 | M | App/ForeignRemittance/foreignremittance-common/pom.xml | 35 | 35 | Maven |
| 87 | M | App/ForeignRemittance/foreignremittance-properties-mbl/pom.xml | 31 | 31 | Maven |
| 88 | M | App/ForeignRemittance/foreignremittance-properties-pc/pom.xml | 25 | 25 | Maven |
| 89 | M | App/ForeignRemittance/foreignremittance-properties-sp/pom.xml | 31 | 31 | Maven |
| 90 | M | App/ForeignRemittance/pom.xml | 54 | 54 | Maven |
| 91 | M | App/GlobalMenu/globalmenu-bl-api/pom.xml | 29 | 29 | Maven |
| 92 | M | App/GlobalMenu/globalmenu-bl-mbl/pom.xml | 186 | 186 | Maven |
| 93 | M | App/GlobalMenu/globalmenu-bl-pc/pom.xml | 187 | 187 | Maven |
| 94 | M | App/GlobalMenu/globalmenu-bl-sp/pom.xml | 162 | 162 | Maven |
| 95 | M | App/GlobalMenu/globalmenu-bl/pom.xml | 78 | 78 | Maven |
| 96 | M | App/GlobalMenu/globalmenu-common/pom.xml | 34 | 34 | Maven |
| 97 | M | App/GlobalMenu/globalmenu-pl-mbl/pom.xml | 114 | 114 | Maven |
| 98 | M | App/GlobalMenu/globalmenu-pl-pc/pom.xml | 114 | 114 | Maven |
| 99 | M | App/GlobalMenu/globalmenu-pl-sp/pom.xml | 125 | 125 | Maven |
| 100 | M | App/GlobalMenu/globalmenu-pl/pom.xml | 56 | 56 | Maven |
| 101 | M | App/GlobalMenu/globalmenu-properties-mbl/pom.xml | 31 | 31 | Maven |
| 102 | M | App/GlobalMenu/globalmenu-properties-pc/pom.xml | 25 | 25 | Maven |
| 103 | M | App/GlobalMenu/globalmenu-properties-sp/pom.xml | 35 | 35 | Maven |
| 104 | M | App/GlobalMenu/pom.xml | 61 | 61 | Maven |
| 105 | M | App/HappyProgram/happyprogram-bl-api/pom.xml | 29 | 29 | Maven |
| 106 | M | App/HappyProgram/happyprogram-bl-mbl/pom.xml | 163 | 163 | Maven |
| 107 | M | App/HappyProgram/happyprogram-bl-pc/pom.xml | 162 | 162 | Maven |
| 108 | M | App/HappyProgram/happyprogram-bl-sp/pom.xml | 158 | 158 | Maven |
| 109 | M | App/HappyProgram/happyprogram-bl/pom.xml | 78 | 78 | Maven |
| 110 | M | App/HappyProgram/happyprogram-common/pom.xml | 35 | 35 | Maven |
| 111 | M | App/HappyProgram/happyprogram-pl-mbl/pom.xml | 118 | 118 | Maven |
| 112 | M | App/HappyProgram/happyprogram-pl-pc/pom.xml | 123 | 123 | Maven |
| 113 | M | App/HappyProgram/happyprogram-pl-sp/pom.xml | 130 | 130 | Maven |
| 114 | M | App/HappyProgram/happyprogram-pl/pom.xml | 56 | 56 | Maven |
| 115 | M | App/HappyProgram/happyprogram-properties-mbl/pom.xml | 31 | 31 | Maven |
| 116 | M | App/HappyProgram/happyprogram-properties-pc/pom.xml | 25 | 25 | Maven |
| 117 | M | App/HappyProgram/happyprogram-properties-sp/pom.xml | 31 | 31 | Maven |
| 118 | M | App/HappyProgram/pom.xml | 61 | 61 | Maven |
| 119 | M | App/Inquiry/inquiry-bl-api/pom.xml | 34 | 34 | Maven |
| 120 | M | App/Inquiry/inquiry-bl-mbl/pom.xml | 118 | 118 | Maven |
| 121 | M | App/Inquiry/inquiry-bl-pc/pom.xml | 121 | 121 | Maven |
| 122 | M | App/Inquiry/inquiry-bl-sp/pom.xml | 117 | 117 | Maven |
| 123 | M | App/Inquiry/inquiry-bl/pom.xml | 78 | 78 | Maven |
| 124 | M | App/Inquiry/inquiry-common/pom.xml | 42 | 42 | Maven |
| 125 | M | App/Inquiry/inquiry-pl-mbl/pom.xml | 115 | 115 | Maven |
| 126 | M | App/Inquiry/inquiry-pl-pc/pom.xml | 98 | 98 | Maven |
| 127 | M | App/Inquiry/inquiry-pl-sp/pom.xml | 118 | 118 | Maven |
| 128 | M | App/Inquiry/inquiry-pl/pom.xml | 68 | 68 | Maven |
| 129 | M | App/Inquiry/inquiry-properties-mbl/pom.xml | 31 | 31 | Maven |
| 130 | M | App/Inquiry/inquiry-properties-pc/pom.xml | 25 | 25 | Maven |
| 131 | M | App/Inquiry/inquiry-properties-sp/pom.xml | 36 | 36 | Maven |
| 132 | M | App/Inquiry/pom.xml | 61 | 61 | Maven |
| 133 | M | App/InvestTrust/investtrust-bl/pom.xml | 49 | 49 | Maven |
| 134 | M | App/InvestTrust/investtrust-common/pom.xml | 35 | 35 | Maven |
| 135 | M | App/InvestTrust/investtrust-properties-mbl/pom.xml | 31 | 31 | Maven |
| 136 | M | App/InvestTrust/investtrust-properties-pc/pom.xml | 25 | 25 | Maven |
| 137 | M | App/InvestTrust/investtrust-properties-sp/pom.xml | 31 | 31 | Maven |
| 138 | M | App/InvestTrust/pom.xml | 54 | 54 | Maven |
| 139 | M | App/MasterSearch/mastersearch-bl-api/pom.xml | 34 | 34 | Maven |
| 140 | M | App/MasterSearch/mastersearch-bl-mbl/pom.xml | 73 | 73 | Maven |
| 141 | M | App/MasterSearch/mastersearch-bl-pc/pom.xml | 77 | 77 | Maven |
| 142 | M | App/MasterSearch/mastersearch-bl-sp/pom.xml | 73 | 73 | Maven |
| 143 | M | App/MasterSearch/mastersearch-bl/pom.xml | 56 | 56 | Maven |
| 144 | M | App/MasterSearch/mastersearch-common/pom.xml | 35 | 35 | Maven |
| 145 | M | App/MasterSearch/mastersearch-pl-webapp-mbl/pom.xml | 67 | 67 | Maven |
| 146 | M | App/MasterSearch/mastersearch-pl-webapp-pc/pom.xml | 71 | 71 | Maven |
| 147 | M | App/MasterSearch/mastersearch-pl/pom.xml | 57 | 57 | Maven |
| 148 | M | App/MasterSearch/mastersearch-properties-mbl/pom.xml | 31 | 31 | Maven |
| 149 | M | App/MasterSearch/mastersearch-properties-pc/pom.xml | 25 | 25 | Maven |
| 150 | M | App/MasterSearch/mastersearch-properties-sp/pom.xml | 31 | 31 | Maven |
| 151 | M | App/MasterSearch/pom.xml | 60 | 60 | Maven |
| 152 | M | App/Postal/pom.xml | 61 | 61 | Maven |
| 153 | M | App/Postal/postal-bl-api/pom.xml | 34 | 34 | Maven |
| 154 | M | App/Postal/postal-bl-mbl/pom.xml | 141 | 141 | Maven |
| 155 | M | App/Postal/postal-bl-pc/pom.xml | 140 | 140 | Maven |
| 156 | M | App/Postal/postal-bl-sp/pom.xml | 136 | 136 | Maven |
| 157 | M | App/Postal/postal-bl/pom.xml | 63 | 63 | Maven |
| 158 | M | App/Postal/postal-common/pom.xml | 35 | 35 | Maven |
| 159 | M | App/Postal/postal-pl-mbl/pom.xml | 120 | 120 | Maven |
| 160 | M | App/Postal/postal-pl-pc/pom.xml | 122 | 122 | Maven |
| 161 | M | App/Postal/postal-pl-sp/pom.xml | 118 | 118 | Maven |
| 162 | M | App/Postal/postal-pl/pom.xml | 56 | 56 | Maven |
| 163 | M | App/Postal/postal-properties-mbl/pom.xml | 31 | 31 | Maven |
| 164 | M | App/Postal/postal-properties-pc/pom.xml | 25 | 25 | Maven |
| 165 | M | App/Postal/postal-properties-sp/pom.xml | 31 | 31 | Maven |
| 166 | M | App/SalesPage/pom.xml | 56 | 56 | Maven |
| 167 | M | App/SalesPage/salespage-bl-api/pom.xml | 34 | 34 | Maven |
| 168 | M | App/SalesPage/salespage-bl-pc/pom.xml | 111 | 111 | Maven |
| 169 | M | App/SalesPage/salespage-bl-sp/pom.xml | 113 | 113 | Maven |
| 170 | M | App/SalesPage/salespage-bl/pom.xml | 61 | 61 | Maven |
| 171 | A | App/SalesPage/salespage-bl/test | 7 | 0 | App |
| 172 | M | App/SalesPage/salespage-common/pom.xml | 35 | 35 | Maven |
| 173 | M | App/SalesPage/salespage-properties-mbl/pom.xml | 31 | 31 | Maven |
| 174 | M | App/SalesPage/salespage-properties-pc/pom.xml | 25 | 25 | Maven |
| 175 | M | App/SalesPage/salespage-properties-sp/pom.xml | 31 | 31 | Maven |
| 176 | M | App/Security/pom.xml | 57 | 57 | Maven |
| 177 | M | App/Security/security-bl-api/pom.xml | 34 | 34 | Maven |
| 178 | M | App/Security/security-bl-sp/pom.xml | 123 | 123 | Maven |
| 179 | M | App/Security/security-bl/pom.xml | 63 | 63 | Maven |
| 180 | M | App/Security/security-common/pom.xml | 42 | 42 | Maven |
| 181 | M | App/Security/security-pl-sp/pom.xml | 85 | 85 | Maven |
| 182 | M | App/Security/security-pl/pom.xml | 56 | 56 | Maven |
| 183 | M | App/Security/security-properties-mbl/pom.xml | 31 | 31 | Maven |
| 184 | M | App/Security/security-properties-pc/pom.xml | 25 | 25 | Maven |
| 185 | M | App/Security/security-properties-sp/pom.xml | 31 | 31 | Maven |
| 186 | M | App/SegmentBanner/pom.xml | 40 | 40 | Maven |
| 187 | M | App/SegmentBanner/segmentbanner-pl-webapp-sp/pom.xml | 53 | 53 | Maven |
| 188 | M | App/SegmentBanner/segmentbanner-pl/pom.xml | 37 | 37 | Maven |
| 189 | M | App/ServiceList/pom.xml | 54 | 54 | Maven |
| 190 | M | App/ServiceList/servicelist-bl-sp/pom.xml | 122 | 122 | Maven |
| 191 | M | App/ServiceList/servicelist-bl/pom.xml | 48 | 48 | Maven |
| 192 | M | App/ServiceList/servicelist-pl-sp/pom.xml | 118 | 118 | Maven |
| 193 | M | App/ServiceList/servicelist-pl/pom.xml | 58 | 58 | Maven |
| 194 | M | App/ServiceList/servicelist-properties-sp/pom.xml | 32 | 32 | Maven |
| 195 | M | App/SessionTransition/pom.xml | 58 | 58 | Maven |
| 196 | M | App/SessionTransition/sessiontransition-bl/pom.xml | 66 | 66 | Maven |
| 197 | M | App/SessionTransition/sessiontransition-common/pom.xml | 35 | 35 | Maven |
| 198 | M | App/SessionTransition/sessiontransition-pl-webapp-mbl/pom.xml | 37 | 37 | Maven |
| 199 | M | App/SessionTransition/sessiontransition-pl-webapp-pc/pom.xml | 25 | 25 | Maven |
| 200 | M | App/SessionTransition/sessiontransition-pl-webapp-sp/pom.xml | 37 | 37 | Maven |
| 201 | M | App/SessionTransition/sessiontransition-pl/pom.xml | 61 | 61 | Maven |
| 202 | M | App/SessionTransition/sessiontransition-properties-mbl/pom.xml | 50 | 50 | Maven |
| 203 | M | App/SessionTransition/sessiontransition-properties-pc/pom.xml | 54 | 54 | Maven |
| 204 | M | App/SessionTransition/sessiontransition-properties-sp/pom.xml | 56 | 56 | Maven |
| 205 | M | App/TimeAccount/pom.xml | 54 | 54 | Maven |
| 206 | M | App/TimeAccount/timeaccount-bl/pom.xml | 56 | 56 | Maven |
| 207 | M | App/TimeAccount/timeaccount-common/pom.xml | 42 | 42 | Maven |
| 208 | M | App/TimeAccount/timeaccount-properties-mbl/pom.xml | 31 | 31 | Maven |
| 209 | M | App/TimeAccount/timeaccount-properties-pc/pom.xml | 25 | 25 | Maven |
| 210 | M | App/TimeAccount/timeaccount-properties-sp/pom.xml | 31 | 31 | Maven |
| 211 | M | App/Transfer/pom.xml | 54 | 54 | Maven |
| 212 | M | App/Transfer/transfer-bl/pom.xml | 56 | 56 | Maven |
| 213 | M | App/Transfer/transfer-common/pom.xml | 35 | 35 | Maven |
| 214 | M | App/Transfer/transfer-properties-mbl/pom.xml | 31 | 31 | Maven |
| 215 | M | App/Transfer/transfer-properties-pc/pom.xml | 25 | 25 | Maven |
| 216 | M | App/Transfer/transfer-properties-sp/pom.xml | 31 | 31 | Maven |
| 217 | M | App/pom.xml | 138 | 138 | Maven |
| 218 | M | Conf/FES_Maven_Archetype/Service/pom.xml | 65 | 65 | Maven |
